-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,,,,,,,,,,
Dates (month/day/year): 12/01/2019 through 03/07/2021 ,,,,,,,,,,,,,,
Location: Latitude  23.685   Longitude 90.3563 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 8.81 meters   Site = na ,,,,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) ,,,,,,,,,,,,,,
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) ,,,,,,,,,,,,,,
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,,,
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,
WS50M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 50 Meters (m/s) ,,,,,,,,,,,,,,
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,T2M_RANGE,T2MDEW,T2M_MAX,T2M_MIN,T2M,WS50M_RANGE,WS50M
23.68501,90.35631,2020,4,17,9.56,16.85,65.16,12.64,22.48,36.65,24.01,29.57,3.94,5.4
23.68501,90.35631,2020,4,18,15.3,18.13,73.3,10.09,23.67,34.72,24.63,28.81,3.3,5.94
23.68501,90.35631,2020,4,19,14.94,18.02,72.25,9.95,23.58,34.59,24.64,28.95,2.46,5.6
23.68501,90.35631,2020,4,20,12.67,17.8,74.04,9.52,23.37,33.71,24.18,28.33,2.11,4.93
23.68501,90.35631,2020,4,21,13.55,16.72,74.25,9.69,22.35,32.95,23.27,27.23,3.84,3.34
23.68501,90.35631,2020,4,22,3.51,15.51,72.3,9.45,21.13,31.53,22.09,26.4,3.43,3.03
23.68501,90.35631,2020,4,23,11.25,16.5,73.28,9.39,22.13,32.07,22.68,27.22,2.73,3.37
23.68501,90.35631,2020,4,24,32.74,16.96,80.15,7.43,22.52,30.19,22.76,26.15,3.86,3.59
23.68501,90.35631,2020,4,25,18.08,17.33,79.48,8.13,22.88,31.12,22.99,26.65,4.31,2.42
23.68501,90.35631,2020,4,26,19.39,17.97,84.49,6.75,23.47,30.11,23.36,26.26,2.39,3.5
23.68501,90.35631,2020,4,27,13.86,16.99,81.76,6.38,22.6,29.36,22.98,25.91,2.88,3
23.68501,90.35631,2020,4,28,25.06,17.25,82.96,5.81,22.82,29.16,23.35,25.9,1.92,2.86
23.68501,90.35631,2020,4,29,11.9,17.2,82.34,7.17,22.74,29.87,22.7,25.94,2.78,3.45
23.68501,90.35631,2020,4,30,9.95,17.59,79.29,8.16,23.15,31.05,22.89,26.97,3.59,2.67
23.68501,90.35631,2020,5,1,16.95,17.82,79.76,7.3,23.34,30.45,23.14,27.07,2.8,2.36
23.68501,90.35631,2020,5,2,12.4,18.15,81.02,7.08,23.61,30.75,23.66,27.09,4.04,2.75
23.68501,90.35631,2020,5,3,14.1,18.26,82.25,7.23,23.7,30.78,23.55,26.93,3.31,2.74
23.68501,90.35631,2020,5,4,7.2,18.21,77.04,8.22,23.71,31.97,23.75,28.03,3.5,2.14
23.68501,90.35631,2020,5,5,10.11,19.88,79.74,8.11,25.13,32.77,24.66,28.91,1.72,3.42
23.68501,90.35631,2020,5,6,45.98,18.9,79.18,5.64,24.3,31.13,25.49,28.17,3.36,1.95
23.68501,90.35631,2020,5,7,8.81,17.53,73.8,8.75,23.1,31.96,23.21,28.11,1.83,1.35
23.68501,90.35631,2020,5,8,6.82,17.34,73.58,8.26,22.92,32.02,23.76,27.97,3.2,2.26
23.68501,90.35631,2020,5,9,20.58,18.53,75.47,8.96,24,32.74,23.78,28.67,3.16,2.23
